date,suburb,address,action,price,profile,bed,url,bath,car,size,photo
3/08/2019,Alexandria,174 Henderson Rd,Sold,1321000,House,3,https://www.domain.com.au/174-henderson-road-alexandria-nsw-2015-2015417932,2,1,126,5
3/08/2019,Annandale,174 Johnston St,Sold,2380000,House,3,https://www.domain.com.au/174-johnston-street-annandale-nsw-2038-2015431717,2,2,326,8
3/08/2019,Annangrove,227B Annangrove Rd,Sold prior to auction,2362000,House,4,https://www.domain.com.au/227b-annangrove-road-annangrove-nsw-2156-2015415475,2,8,,12
3/08/2019,Austral,30 Eighth Av,Sold,0,House,4,https://www.domain.com.au/30-eighth-avenue-austral-nsw-2179-2015411274,2,6,,8
3/08/2019,Balgowlah,146 Condamine St,Sold prior to auction,0,Semi,3,https://www.domain.com.au/146-condamine-street-balgowlah-nsw-2093-2015417956,1,2,,7
3/08/2019,Balgowlah,16 Maretimo St,Sold,2566000,House,7,https://www.domain.com.au/16-maretimo-street-balgowlah-nsw-2093-2015418098,4,2,,12
3/08/2019,Baulkham Hills,11 Kelly Cl,Sold,1405000,House,4,https://www.domain.com.au/11-kelly-close-baulkham-hills-nsw-2153-2015425018,2,2,8169,15
3/08/2019,Belfield,24 Patricia St,Sold,1122500,House,3,https://www.domain.com.au/24-patricia-street-belfield-nsw-2191-2015422641,1,1,509,12
3/08/2019,Belfield,23 Robinson St,Sold,1200000,House,2,https://www.domain.com.au/23-robinson-street-belfield-nsw-2191-2015422647,1,1,505,7
3/08/2019,Belmore,44 Kennedy Av,Sold,0,House,4,https://www.domain.com.au/44-kennedy-avenue-belmore-nsw-2192-2015440359,2,4,641,7
3/08/2019,Bexley,41 Cameron St,Sold,1030000,House,3,https://www.domain.com.au/41-cameron-street-bexley-nsw-2207-2015420893,1,2,445,4
3/08/2019,Bexley,7/22 Monomeeth St,Sold,570000,Unit,2,https://www.domain.com.au/7-22-monomeeth-street-bexley-nsw-2207-2015436060,1,2,113,4
3/08/2019,Bexley,6/32-38 Queen Victoria St,Sold,405000,Unit,1,https://www.domain.com.au/6-32-38-queen-victoria-street-bexley-nsw-2207-2015425877,1,1,,4
3/08/2019,Bexley,11/40-42 Queen Victoria St,Sold,608000,Unit,2,https://www.domain.com.au/11-40-42-queen-victoria-street-bexley-nsw-2207-2015424663,1,1,115,5
3/08/2019,Bexley North,15 St Kilda St,Sold,1160000,House,2,https://www.domain.com.au/15-st-kilda-street-bexley-north-nsw-2207-2015414600,1,1,556,4
