Regional Name,Council Name,Suburb/Town,PostCode,Suburbs is cross council
Sydney Outer,Auburn City Council,AUBURN,2144,
Sydney Outer,Auburn City Council,AUBURN NORTH,2144,
Sydney Outer,Auburn City Council,AUBURN SOUTH,2144,
Sydney Outer,Auburn City Council,AUBURN WEST,2144,
Sydney Outer,Auburn City Council,BERALA,2141,
Sydney Outer,Auburn City Council,HOMEBUSH BAY,2127,
Sydney Outer,Auburn City Council,LIDCOMBE,2141,
Sydney Outer,Auburn City Council,LIDCOMBE NORTH,2141,
Sydney Outer,Auburn City Council,NEWINGTON,2127,
Sydney Outer,Auburn City Council, REGENTS PARK,2143,***
Sydney Outer,Auburn City Council,ROOKWOOD,2141,
Sydney Outer,Auburn City Council,SILVERWATER,2128,
Sydney Outer,Bankstown City Council,BANKSTOWN,2200,
Sydney Outer,Bankstown City Council,BANKSTOWN AERODROME,2200,
Sydney Outer,Bankstown City Council,BANKSTOWN AIRPORT,2200,
Sydney Outer,Bankstown City Council,BANKSTOWN EAST,2190,
Sydney Outer,Bankstown City Council,BANKSTOWN NORTH,2200,
Sydney Outer,Bankstown City Council,BANKSTOWN SOUTH,2200,
Sydney Outer,Bankstown City Council,BANKSTOWN SQUARE,2200,
Sydney Outer,Bankstown City Council,BANKSTOWN WEST,2200,
Sydney Outer,Bankstown City Council,BASS HILL,2197,
Sydney Outer,Bankstown City Council,BIRRONG,2143,
Sydney Outer,Bankstown City Council,CHESTER HILL,2162,
Sydney Outer,Bankstown City Council,CHULLORA,2190,
Sydney Outer,Bankstown City Council,CONDELL PARK,2200,
Sydney Outer,Bankstown City Council,EAST HILLS,2213,
Sydney Outer,Bankstown City Council,GEORGES HALL,2198,
Sydney Outer,Bankstown City Council, GREENACRE,2190,***
Sydney Outer,Bankstown City Council,LANSDOWNE,2163,
Sydney Outer,Bankstown City Council,LEIGHTONFIELD,2163,
Sydney Outer,Bankstown City Council,MANAHAN,2200,
Sydney Outer,Bankstown City Council,MILPERRA,2214,
Sydney Outer,Bankstown City Council,MOUNT LEWIS,2190,
Sydney Outer,Bankstown City Council, OLD GUILDFORD,2161,***
Sydney Outer,Bankstown City Council,PADSTOW,2211,
Sydney Outer,Bankstown City Council,PADSTOW HEIGHTS,2211,
Sydney Outer,Bankstown City Council,PANANIA,2213,
Sydney Outer,Bankstown City Council,PICNIC POINT,2213,
Sydney Outer,Bankstown City Council,POTTS HILL,2143,
Sydney Outer,Bankstown City Council, PUNCHBOWL,2196,***
Sydney Outer,Bankstown City Council, REGENTS PARK,2143,***
Sydney Outer,Bankstown City Council,REVESBY,2212,
Sydney Outer,Bankstown City Council,REVESBY HEIGHTS,2212,
Sydney Outer,Bankstown City Council,REVESBY NORTH,2212,
Sydney Outer,Bankstown City Council, SEFTON,2162,***
Sydney Outer,Bankstown City Council, STRATHFIELD SOUTH,2136,***
Sydney Outer,Bankstown City Council, VILLAWOOD,2163,***
Sydney Outer,Bankstown City Council,YAGOONA,2199,
Sydney Outer,Bankstown City Council,YAGOONA WEST,2199,
Sydney Outer,The Hills Shire Council,ANNANGROVE,2156,
Sydney Outer,The Hills Shire Council, BAULKHAM HILLS,2153,***
Sydney Outer,The Hills Shire Council,BEAUMONT HILLS,2155,
Sydney Outer,The Hills Shire Council,BELLA VISTA,2153,
Sydney Outer,The Hills Shire Council,BOX HILL,2765,
Sydney Outer,The Hills Shire Council,BURNSIDE,2117,
Sydney Outer,The Hills Shire Council, CARLINGFORD,2118,***
Sydney Outer,The Hills Shire Council,CARLINGFORD HEIGHTS,2118,
Sydney Outer,The Hills Shire Council, CASTLE HILL,2154,***
Sydney Outer,The Hills Shire Council, CATTAI,2756,***
Sydney Outer,The Hills Shire Council, CATTAI CREEK,2756,***
Sydney Outer,The Hills Shire Council,CATTAI NORTH,2756,
Sydney Outer,The Hills Shire Council,CRESTWOOD,2153,
Sydney Outer,The Hills Shire Council, DURAL,2158,***
Sydney Outer,The Hills Shire Council, GLENHAVEN,2156,***
Sydney Outer,The Hills Shire Council, GLENORIE,2157,***
Sydney Outer,The Hills Shire Council,HILLSIDE,2157,
Sydney Outer,The Hills Shire Council, KELLYVILLE,2155,***
Sydney Outer,The Hills Shire Council,KENTHURST,2156,
Sydney Outer,The Hills Shire Council, LOWER PORTLAND,2756,***
Sydney Outer,The Hills Shire Council, MARAYLYA,2765,***
Sydney Outer,The Hills Shire Council, MAROOTA,2756,***
