Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
Aberdeen,Macqueen,St,Ramp,-32.16688641,150.8919573,
Aberdeen,Macqueen,St,Stairs,-32.16689969,150.8919751,
Adamstown,Park,Ave,Path,-32.9337056,151.7204518,
Adamstown,Park,Ave,Path,-32.93382729,151.7202364,
Adamstown,St James,Rd,Stairs,-32.93341396,151.7203632,
Adamstown,St James,Rd,Ramp,-32.93340162,151.7203474,
Albion Park,Burroo,St,Ramp,-34.56340933,150.79939,
Albion Park,Princes,Hwy,Ramp,-34.56350712,150.7991893,
Albion Park,Princes,Hwy,Ramp,-34.56278202,150.7984185,
Albion Park,Princes,Hwy,Stairs,-34.56293995,150.798574,
Allawah,Roberts,Lane,Stairs,-33.96949011,151.1145667,
Allawah,Roberts,Lane,Ramp,-33.96953727,151.1146945,
Allawah,Railway,Pde,Ramp,-33.96988689,151.1142405,
Allawah,Railway,Pde,Ramp,-33.96996874,151.1149448,
Allawah,Railway,Pde,Lift,-33.96987782,151.1144352,
Arlington LR,Constitution,Rd,Path,-33.9020497,151.1380434,
Arlington LR,Grove,St,Path,-33.9020453,151.1381593,
Arncliffe,Firth,St,Lift,-33.93677457,151.1468602,
Arncliffe,Firth,St,Stairs,-33.93671781,151.1468509,
Arncliffe,The Arcade,,Stairs,-33.93692447,151.1474278,
Arncliffe,The Arcade,,Lift,-33.93696302,151.1474227,
Artarmon,Valetta,Lane,Ramp,-33.80823377,151.1847419,
Artarmon,Hampden,Rd,Stairs,-33.80854065,151.1844285,
Artarmon,Hampden,Rd,Lift,-33.80875941,151.1847201,
Ashfield,Brown,St,Lift,-33.88789161,151.1257974,
Ashfield,Brown ,St,Stairs,-33.887775,151.1255397,
Ashfield,Station,St,Lift,-33.88744211,151.1259581,
Ashfield,Station,St,Stairs,-33.88739665,151.1258025,
Asquith,Haldane,St,Path,-33.68869132,151.1082656,
Asquith,Pacific,Hwy,Ramp,-33.68848916,151.1079991,
Auburn,South,Pde,Stairs,-33.849663,151.0329192,
Auburn,South,South,Ramp,-33.84946375,151.0327209,
Auburn,Rawson,St,Ramp,-33.8492876,151.0332914,
Austinmer,Railway,Ave,Path,-34.30650136,150.9289071,
Austinmer,Gilchrist,St,Path,-34.3065205,150.9293511,
Awaba,Adelaide,St,Ramp,-33.0129167,151.5421589,
Awaba,Wilton,Rd,Ramp,-33.01310914,151.5420747,
Awaba,Adelaide,St,Path,-33.01291676,151.5421328,
Banksia,Railway,St,Stairs,-33.94488347,151.1404482,
Banksia,Railway,St,Ramp,-33.94479129,151.1404987,
Banksia,Hattersley,St,Ramp,-33.94490035,151.140849,
Bankstown,North,Tce,Ramp,-33.91768635,151.0342697,
Bankstown,Bankstown City,Plza,Path,-33.91778824,151.0337625,
Bankstown,Bankstown City,Plza,Path,-33.91805216,151.03411,
Bardwell Park,Hartill Law,Ave,Stairs,-33.93137824,151.125379,
Bargo,Great Southern,Rd,Path,-34.29097858,150.5801756,
Bargo,Railside,Ave,Path,-34.29104476,150.5800077,
Bargo,Railside,Ave,Ramp,-34.29100778,150.5800205,
Bargo,Great Southern,Rd,Ramp,-34.29098411,150.5801501,
Beecroft,Sutherland,Rd,Path,-33.74921627,151.0667339,
Beecroft,Wongala,Cres,Path,-33.74904472,151.0663377,
Beecroft,Wongala,Cres,Path,-33.74923381,151.0662247,
Bell,Sandham ,Rd,Ramp,-33.5061656,150.2793612,
Bell,Chiefley,Rd,Stairs,-33.50623435,150.2790794,
Bella Vista,Mawson Ave - South,<Null>,Lift,-33.73118266,150.9442965,
Bella Vista,Mawson Ave - North,,Lift,-33.73005082,150.9437829,
Bella Vista,Mawson Ave - South,<Null>,Escalators,-33.73105417,150.9442341,
Bella Vista,Mawson Ave - North,,Escalators,-33.73018824,150.9438384,
Bellambi,Bellambi,Lane,Ramp,-34.36261281,150.9101311,
Belmore,Burwood,Rd,Lift,-33.91724884,151.0883372,
Belmore,Burwood,Rd,Stairs,-33.91722736,151.0883244,
Berala,Campbell,St,Path,-33.8719773,151.0328288,
Berala,Woodburn,Rd,Path,-33.87139384,151.0323272,
Beresfield,Addison,St,Lift,-32.79947121,151.6581617,
Beresfield,Addison,St,Stairs,-32.79958398,151.658334,
Beresfield,Lawson,Ave,Stairs,-32.79940714,151.6585784,
Berowra,Pacific,Hwy,Ramp,-33.62300205,151.1531421,
Berowra,Pacific,Hwy,Ramp,-33.62291449,151.1535638,
Berry,Station,Rd,Path,-34.78027342,150.6967235,
Beverly Hills,King Georges,Rd,Stairs,-33.94926254,151.0804784,
Beverly Hills,King Georges,Rd,Lift,-33.94913026,151.0808291,
Beverly Hills,King Georges,Rd,Stairs,-33.94914069,151.0808676,
Bexley North,Bexley,Rd,Stairs,-33.9374812,151.1139261,
Birrong,Avalon,St,Stairs,-33.89253644,151.0243134,
Blackheath,Station,St,Stairs,-33.63400546,150.2842535,
Blackheath,Great Western,Hwy,Stairs,-33.63397248,150.2845903,
Blacktown,First,Ave,Stairs,-33.7677336,150.9079689,3
Blacktown,Jim Simpson,Lane,Stairs,-33.76894183,150.9073054,2
Blacktown,Patrick,St,Stairs,-33.76903303,150.9069899,1
Blacktown,First,Ave,Stairs,-33.76777702,150.9080196,3
