host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month
3,3,2,1,1,67,3,30,3,3,30,30,3,30,23,53,83,331,338,34,2,99,10,10,10,10,10,10,1,1,0,2.84
2,2,2,,2,46,4,60,4,4,1125,1125,4,1125,18,48,63,323,56,1,0,94,10,9,10,10,10,10,2,2,0,0.72
0,0,2,1,1,45,2,10,2,2,10,10,2,10,0,0,0,0,38,0,0,94,9,10,10,9,9,9,1,0,1,0.31
1,1,6,3,2,164,1,28,1,7,28,28,2.5,28,24,46,76,320,31,3,2,93,9,9,9,9,10,9,1,1,0,0.31
2,2,6,4,5,139,2,365,2,2,365,365,2,365,10,36,47,291,250,13,1,96,10,10,10,10,10,10,1,1,0,2.16
4,4,8,4,7,176,3,31,1,7,31,31,3.4,31,0,0,0,0,120,13,0,99,10,10,10,10,10,10,4,4,0,3.3
1,1,4,1,1,78,4,31,3,4,1125,1125,3.9,1125,9,9,9,159,98,19,1,96,10,9,10,10,10,9,1,1,0,0.91
2,2,2,1,1,57,2,1125,2,2,1125,1125,2,1125,0,0,0,0,461,47,8,98,,,,,,,1,1,0,4.07
1,1,2,1,1,55,1,31,1,1,31,31,1,31,29,57,73,339,480,14,0,98,10,10,10,10,10,10,1,0,1,4.18
1,1,4,2,2,74,17,365,17,17,365,365,17,365,5,13,29,304,33,0,0,89,9,9,10,10,9,9,1,1,0,0.29
1,1,10,5,0,250,2,28,2,2,1125,1125,2,1125,0,0,0,0,114,4,0,96,10,10,10,10,10,9,1,1,0,1.01
5,5,5,2,3,69,2,1125,2,4,1125,1125,2.1,1125,21,37,63,328,185,11,0,97,10,10,10,10,10,10,1,1,0,1.62
2,2,2,1,1,61,2,30,2,4,1125,1125,2.1,1125,0,3,27,287,675,37,4,98,10,10,10,10,10,10,1,1,0,6.11
1,1,4,1,2,84,2,1125,2,2,1125,1125,2,1125,19,45,51,182,533,31,2,97,10,10,10,10,10,10,1,1,0,4.69
1,1,4,2,5,180,2,1125,2,2,1125,1125,2,1125,24,54,84,352,15,0,0,85,9,8,9,10,9,9,1,1,0,0.13
1,1,4,2,3,73,3,365,3,3,365,365,3,365,12,42,62,263,118,14,3,98,10,10,10,10,10,10,1,1,0,1.05
