,host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,latitude,longitude
5102,16,16,4,2,2,999,1,365,1,1,365,365,1,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,55.96651,-3.16819
5103,16,16,4,2,2,999,1,365,1,1,365,365,1,365,1,1,1,1,1,1,0,0,0,0,0,0,0,0,16,0,0,0.11,55.96651,-3.16819
5104,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,47,1,0,0,100,10,10,10,10,8,8,16,0,0,0.07,55.96651,-3.16819
5105,16,16,4,2,2,999,1,365,1,1,365,365,1,365,0,0,0,45,0,0,0,0,0,0,0,0,0,0,16,0,0,0,55.96651,-3.16819
5106,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,45,3,1,0,100,10,10,10,10,9,9,16,0,0,0.21,55.96651,-3.16819
5107,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,0,1,0,0,100,10,10,10,10,10,10,16,0,0,0.08,55.96651,-3.16819
5108,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,45,1,1,0,100,10,10,10,10,8,10,16,0,0,0.1,55.96651,-3.16819
5109,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,46,0,0,0,0,0,0,0,0,0,0,16,0,0,0,55.96651,-3.16819
5110,16,16,4,2,3,999,1,365,1,1,365,365,1,365,0,0,0,45,0,0,0,0,0,0,0,0,0,0,16,0,0,0,55.96651,-3.16819
5111,16,16,4,2,3,999,1,365,1,1,365,365,1,365,2,2,2,2,1,0,0,60,8,8,8,8,8,6,16,0,0,0.06,55.96651,-3.16819
5112,16,16,4,2,3,999,1,365,1,1,365,365,1,365,2,2,2,2,1,0,0,100,10,10,10,10,10,10,16,0,0,0.07,55.96651,-3.16819
5113,16,16,4,2,2,999,1,365,1,1,365,365,1,365,0,0,0,44,0,0,0,0,0,0,0,0,0,0,16,0,0,0,55.96651,-3.16819
5215,11,11,1,1,1,999,1,1125,1,1,1125,1125,1,1125,1,1,1,1,4,0,0,85,9,8,10,10,9,9,11,1,10,0.26,55.92191,-3.29269
5306,11,11,1,1,1,999,3,1125,3,3,1125,1125,3,1125,30,60,90,365,2,1,0,100,10,10,10,10,9,10,11,1,10,0.14,55.92056,-3.29422
6059,4,4,7,2,5,999,1,1125,1,2,1125,1125,1.2,1125,0,0,0,81,0,0,0,0,0,0,0,0,0,0,4,4,0,0,55.95265,-3.20436
6060,4,4,5,1,3,999,1,1125,1,2,1125,1125,1,1125,0,0,0,83,1,1,0,100,10,10,10,10,10,10,4,4,0,0.12,55.95207,-3.20443
6061,4,4,4,1,2,999,1,1125,1,2,1125,1125,1,1125,0,0,0,81,0,0,0,0,0,0,0,0,0,0,4,4,0,0,55.95402,-3.20619
6062,4,4,2,1,1,999,1,1125,1,2,1125,1125,1,1125,0,0,0,81,0,0,0,0,0,0,0,0,0,0,4,4,0,0,55.95344,-3.20628
6319,11,11,2,1,1,999,2,1125,2,2,1125,1125,2,1125,30,60,90,365,4,4,1,100,9,10,8,10,10,10,11,1,10,1.52,55.91388,-3.28871
6368,11,11,2,1,1,999,3,365,3,3,365,365,3,365,30,60,90,365,1,1,0,100,10,8,10,10,10,10,11,1,10,0.68,55.92078,-3.29663
5864,11,11,2,1,0,998,3,1125,3,3,1125,1125,3,1125,30,60,90,365,2,2,0,100,10,9,10,10,10,9,11,1,10,0.21,55.91977,-3.2997
5937,11,11,1,1,0,998,1,1125,1,1,1125,1125,1,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,0,11,1,10,0,55.92159,-3.30064
122,16,16,16,4,20,995,3,365,3,3,365,365,3,365,30,60,90,365,24,1,0,95,9,10,10,10,10,9,15,15,0,0.25,55.95017,-3.18902
5863,11,11,2,1,0,990,1,1125,1,1,1125,1125,1,1125,30,60,90,365,2,2,0,90,9,8,10,10,9,9,11,1,10,0.23,55.91994,-3.29752
6224,1,1,16,9,13,955,2,30,2,3,30,30,2.1,30,0,21,51,51,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55.96283,-3.20337
3604,1,1,2,1,1,900,2,8,2,2,8,8,2,8,23,53,83,173,1,0,0,0,0,0,0,0,0,0,1,0,1,0.04,55.95474,-3.24707
5709,11,11,6,2,3,900,3,1125,3,3,1125,1125,3,1125,0,0,18,18,16,16,0,95,10,9,10,10,10,10,3,2,1,1.44,55.94787,-3.20021
6432,1,1,4,2,2,900,2,1114,2,2,1125,1125,2,1125,30,60,90,180,0,0,0,0,0,0,0,0,0,0,2,2,0,0,55.94868,-3.19673
4724,19,19,16,4,21,886,2,31,2,2,31,31,2,31,27,50,80,246,0,0,0,0,0,0,0,0,0,0,11,11,0,0,55.93526,-3.19377
2584,1,1,4,1,2,800,2,60,2,2,60,60,2,60,29,59,89,89,160,18,0,96,10,10,10,10,10,9,1,1,0,4.09,55.94233,-3.21872
2745,2,2,1,1,1,800,2,15,2,2,15,15,2,15,0,20,50,325,14,0,0,89,9,10,9,9,10,9,1,0,1,0.39,55.95778,-3.16211
3430,7,7,16,2,8,800,1,1125,1,1,1125,1125,1,1125,30,60,90,365,4,0,0,100,10,10,10,10,10,10,7,7,0,0.16,55.94824,-3.18638
3647,4,4,6,3,3,800,1,1125,1,10,1125,1125,3.5,1125,0,0,0,262,1,0,0,100,10,10,10,10,10,10,4,0,4,0.04,55.94443,-3.21173
3649,4,4,10,5,5,800,1,1125,1,10,1125,1125,3.4,1125,0,0,0,263,0,0,0,0,0,0,0,0,0,0,4,0,4,0,55.94443,-3.21173
3651,4,4,12,6,6,800,1,1125,1,10,1125,1125,3.4,1125,0,0,0,263,0,0,0,0,0,0,0,0,0,0,4,0,4,0,55.94443,-3.21173
3698,4,4,8,4,4,800,1,1125,1,10,1125,1125,3.4,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,55.94443,-3.21173
4367,1,1,10,4,5,800,4,1125,4,4,1125,1125,4,1125,30,60,90,365,1,0,0,100,10,8,10,10,10,10,1,1,0,0.07,55.95779,-3.19469
