Report Start,Report End,Day of the Week,Age,Gender,Impressions,Clicks,Click Through Rate,Amount Spent,Total Conversions,Total Conversion Rate,Cost / Total Conversion,Approved Conversions,Approved Conversion Rate,Cost / Approved Conversion,Disapproved Conversions,Disapproved Conversion Rate,Cost / Disapproved Conversion
17/08/2017,17/08/2017,Thursday,40-44,Female,195220,51,0.03%,$78.06,1,2.0%,$78.06,0,0%,$0.00,1,100%,$78.06
17/08/2017,17/08/2017,Thursday,40-44,Female,329333,48,0.01%,$67.61,1,2.0%,$67.61,0,0%,$0.00,1,100%,$67.61
17/08/2017,17/08/2017,Thursday,40-44,Female,682046,183,0.03%,$254.42,4,2.0%,$63.61,2,1%,$127.21,2,50%,$31.80
17/08/2017,17/08/2017,Thursday,40-44,Female,925555,182,0.02%,$262.89,4,2.0%,$65.72,2,1%,$131.45,2,50%,$32.86
17/08/2017,17/08/2017,Thursday,40-44,Female,328365,83,0.03%,$117.34,2,2.0%,$58.67,1,1%,$117.34,1,50%,$58.67
17/08/2017,17/08/2017,Thursday,35-39,Female,561415,124,0.02%,$173.76,3,2.0%,$57.92,0,0%,$0.00,3,100%,$19.31
17/08/2017,17/08/2017,Thursday,40-44,Female,1114711,224,0.02%,$319.00,6,3.0%,$53.17,0,0%,$0.00,6,100%,$8.86
17/08/2017,17/08/2017,Thursday,40-44,Female,138154,35,0.03%,$48.94,1,3.0%,$48.94,0,0%,$0.00,1,100%,$48.94
17/08/2017,17/08/2017,Thursday,40-44,Female,913929,245,0.03%,$340.41,7,3.0%,$48.63,2,1%,$170.21,5,71%,$9.73
17/08/2017,17/08/2017,Thursday,40-44,Female,270124,69,0.03%,$95.85,2,3.0%,$47.93,0,0%,$0.00,2,100%,$23.96
17/08/2017,17/08/2017,Thursday,40-44,Female,265038,51,0.02%,$78.46,2,4.0%,$39.23,1,2%,$78.46,1,50%,$39.23
17/08/2017,17/08/2017,Thursday,40-44,Female,1083259,276,0.03%,$390.26,11,4.0%,$35.48,0,0%,$0.00,11,100%,$3.23
17/08/2017,17/08/2017,Thursday,35-39,Female,1020561,172,0.02%,$263.81,7,4.0%,$37.69,3,2%,$87.94,4,57%,$9.42
17/08/2017,17/08/2017,Thursday,45-49,Female,513161,114,0.02%,$165.61,5,4.0%,$33.12,2,2%,$82.81,3,60%,$11.04
17/08/2017,17/08/2017,Thursday,35-39,Female,975792,210,0.02%,$293.88,10,5.0%,$29.39,4,2%,$73.47,6,60%,$4.90
17/08/2017,17/08/2017,Thursday,40-44,Female,267316,58,0.02%,$82.93,3,5.0%,$27.64,0,0%,$0.00,3,100%,$9.21
17/08/2017,17/08/2017,Thursday,45-49,Female,790253,135,0.02%,$198.71,8,6.0%,$24.84,2,1%,$99.36,6,75%,$4.14
17/08/2017,17/08/2017,Thursday,30-34,Female,82640,16,0.02%,$23.97,1,6.0%,$23.97,1,6%,$23.97,0,0%,$0.00
17/08/2017,17/08/2017,Thursday,40-44,Female,582725,142,0.02%,$194.81,9,6.0%,$21.65,2,1%,$97.41,7,78%,$3.09
17/08/2017,17/08/2017,Thursday,35-39,Female,1025327,229,0.02%,$314.30,16,7.0%,$19.64,2,1%,$157.15,14,88%,$1.40
17/08/2017,17/08/2017,Thursday,30-34,Female,57665,14,0.02%,$18.07,1,7.0%,$18.07,1,7%,$18.07,0,0%,$0
17/08/2017,17/08/2017,Thursday,40-44,Female,107501,27,0.03%,$40.88,2,7.0%,$20.44,2,7%,$20.44,0,0%,$0
17/08/2017,17/08/2017,Thursday,35-39,Female,132803,25,0.02%,$37.32,2,8.0%,$18.66,1,4%,$37.32,1,50%,$18.66
17/08/2017,17/08/2017,Thursday,45-49,Male,47224,12,0.03%,$15.82,1,8.0%,$15.82,0,0%,$0.00,1,100%,$15.82
17/08/2017,17/08/2017,Thursday,40-44,Female,101586,24,0.02%,$33.47,2,8.0%,$16.74,1,4%,$33.47,1,50%,$16.74
17/08/2017,17/08/2017,Thursday,30-34,Female,94136,11,0.01%,$16.18,1,9.0%,$16.18,0,0%,$0.00,1,100%,$16.18
17/08/2017,17/08/2017,Thursday,35-39,Female,90470,11,0.01%,$16.73,1,9.0%,$16.73,1,9%,$16.73,0,0%,$0
17/08/2017,17/08/2017,Thursday,30-34,Female,411571,60,0.01%,$99.18,6,10.0%,$16.53,1,2%,$99.18,5,83%,$3.31
17/08/2017,17/08/2017,Thursday,35-39,Female,127865,28,0.02%,$38.03,3,11.0%,$12.68,1,4%,$38.03,2,67%,$6.34
17/08/2017,17/08/2017,Thursday,40-44,Female,834243,166,0.02%,$246.75,18,11.0%,$13.71,7,4%,$35.25,11,61%,$1.25
17/08/2017,17/08/2017,Thursday,40-44,Female,197772,63,0.03%,$88.21,7,11.0%,$12.60,2,3%,$44.11,5,71%,$2.52
17/08/2017,17/08/2017,Thursday,35-39,Female,441192,53,0.01%,$77.60,6,11.0%,$12.93,2,4%,$38.80,4,67%,$3.23
17/08/2017,17/08/2017,Thursday,30-34,Female,45199,7,0.02%,$9.81,1,14.0%,$9.81,0,0%,$0.00,1,100%,$9.81
17/08/2017,17/08/2017,Thursday,40-44,Female,303971,77,0.03%,$106.93,11,14.0%,$9.72,6,8%,$17.82,5,45%,$1.94
17/08/2017,17/08/2017,Thursday,35-39,Female,99810,14,0.01%,$20.05,2,14.0%,$10.03,0,0%,$0.00,2,100%,$5.01
17/08/2017,17/08/2017,Thursday,35-39,Female,357401,47,0.01%,$68.67,8,17.0%,$8.58,1,2%,$68.67,7,88%,$1.23
17/08/2017,17/08/2017,Thursday,40-44,Female,696612,152,0.02%,$223.19,31,20.0%,$7.20,9,6%,$24.80,22,71%,$0.33
17/08/2017,17/08/2017,Thursday,30-34,Female,44189,7,0.02%,$10.32,2,29.0%,$5.16,0,0%,$0.00,2,100%,$2.58
17/08/2017,17/08/2017,Thursday,30-34,Male,15615,3,0.02%,$4.77,1,33.0%,$4.77,0,0%,$0.00,1,100%,$4.77
17/08/2017,17/08/2017,Thursday,35-39,Male,7132,2,0.03%,$2.61,1,50.0%,$2.61,0,0%,$0.00,1,100%,$2.61
17/08/2017,17/08/2017,Thursday,35-39,Female,24664,2,0.01%,$2.63,1,50.0%,$2.63,1,50%,$2.63,0,0%,$0
17/08/2017,17/08/2017,Thursday,35-39,Female,81569,6,0.01%,$9.41,3,50.0%,$3.14,1,17%,$9.41,2,67%,$1.57
17/08/2017,17/08/2017,Thursday,30-34,Male,17861,2,0.01%,$1.82,2,100.0%,$0.91,0,0%,$0.00,2,100%,$0.46
17/08/2017,17/08/2017,Thursday,30-34,Male,4133,1,0.02%,$1.29,1,100.0%,$1.29,1,100%,$1.29,0,0%,$0
17/08/2017,17/08/2017,Thursday,30-34,Male,10951,1,0.01%,$1.27,1,100.0%,$1.27,1,100%,$1.27,0,0%,$0
17/08/2017,17/08/2017,Thursday,30-34,Male,2355,1,0.04%,$1.50,1,100.0%,$1.50,0,0%,$0.00,1,100%,$1.50
17/08/2017,17/08/2017,Thursday,45-49,Male,2283,1,0.04%,$1.47,1,100.0%,$1.47,0,0%,$0.00,1,100%,$1.47
