Player,Club,Position
Daniel Talia,Adelaide Crows,Key Defender
Alex Keath,Adelaide Crows,Key Defender
Kyle Hartigan,Adelaide Crows,Key Defender
Andy Otten,Adelaide Crows,Key Defender
Jordon Butts,Adelaide Crows,Key Defender
Harris Andrews,Brisbane Lions,Key Defender
Josh Walker,Brisbane Lions,Key Defender
Marcus Adams,Brisbane Lions,Key Defender
Matt Eagles,Brisbane Lions,Key Defender
Jack Payne,Brisbane Lions,Key Defender
Liam Jones,Carlton,Key Defender
Jacob Weitering,Carlton,Key Defender
Lachie Plowman,Carlton,Key Defender
Caleb Marchbank,Carlton,Key Defender
Hugh Goddard,Carlton,Key Defender
Harrison Macreadie,Carlton,Key Defender
Ben Silvagni,Carlton,Key Defender
Jordan Roughead,Collingwood,Key Defender
Darcy Moore,Collingwood,Key Defender
Lynden Dunn,Collingwood,Key Defender
Jack Madgen,Collingwood,Key Defender
Mark Keane,Collingwood,Key Defender
Cale Hooker,Essendon,Key Defender
Michael Hurley,Essendon,Key Defender
Aaron Francis,Essendon,Key Defender
Patrick Ambrose,Essendon,Key Defender
Michael Hartley,Essendon,Key Defender
Brandon Zerk-Thatcher,Essendon,Key Defender
Joel Hamling,Fremantle,Key Defender
Alex Pearce,Fremantle,Key Defender
Griffin Logue,Fremantle,Key Defender
Dillon OReilly,Fremantle,Key Defender
Tobe Watson,Fremantle,Key Defender
Mark Blicavs,Geelong Cats,Key Defender
Harry Taylor,Geelong Cats,Key Defender
Tom Stewart,Geelong Cats,Key Defender
Jake Kolodjashnij,Geelong Cats,Key Defender
Lachie Henderson,Geelong Cats,Key Defender
Ben Jarvis,Geelong Cats,Key Defender
Charlie Ballard,Gold Coast Suns,Key Defender
Jack Hombsch,Gold Coast Suns,Key Defender
Rory Thompson,Gold Coast Suns,Key Defender
Sam Collins,Gold Coast Suns,Key Defender
Jack Leslie,Gold Coast Suns,Key Defender
Caleb Graham,Gold Coast Suns,Key Defender
Jeremy Finlayson,GWS Giants,Key Forward
Phil Davis,GWS Giants,Key Defender
Nick Haynes,GWS Giants,Key Defender
Sam Taylor,GWS Giants,Key Defender
Aidan Corr,GWS Giants,Key Defender
Lachlan Keeffe,GWS Giants,Key Defender
Connor Idun,GWS Giants,Key Defender
James Frawley,Hawthorn,Key Defender
Kaiden Brand,Hawthorn,Key Defender
Tim Mohr,Hawthorn,Key Defender
Jacob Koschitzke,Hawthorn,Key Defender
Sam Frost,Melbourne,Key Defender
Oscar McDonald,Melbourne,Key Defender
Steven May,Melbourne,Key Defender
Jake Lever,Melbourne,Key Defender
Marty Hore,Melbourne,Key Defender
Harry Petty,Melbourne,Key Defender
Scott Thompson,North Melbourne,Key Defender
Robbie Tarrant,North Melbourne,Key Defender
Majak Daw,North Melbourne,Key Defender
Ed Vickers-Willis,North Melbourne,Key Defender
Sam Durdin,North Melbourne,Key Defender
Ben McKay,North Melbourne,Key Defender
Declan Watson,North Melbourne,Key Defender
Dougal Howard,Port Adelaide,Key Defender
Ryan Burton,Port Adelaide,Key Defender
Riley Grundy,Port Adelaide,Key Defender
Alex Rance,Richmond,Key Defender
David Astbury,Richmond,Key Defender
Ryan Garthwaite,Richmond,Key Defender
Ben Miller,Richmond,Key Defender
Jake Carlisle,St Kilda,Key Defender
Nathan Brown,St Kilda,Key Defender
Callum Wilkie,St Kilda,Key Defender
Josh Battle,St Kilda,Key Defender
Sam Rowe,St Kilda,Key Defender
Logan Austin,St Kilda,Key Defender
Jonathon Marsh,St Kilda,Key Defender
Oscar Clavarino,St Kilda,Key Defender
Aliir Aliir,Sydney Swans,Key Defender
Heath Grundy,Sydney Swans,Key Defender
Jack Maibaum,Sydney Swans,Key Defender
Toby Pink,Sydney Swans,Key Defender
Jeremy McGovern,West Coast Eagles,Key Defender
Will Schofield,West Coast Eagles,Key Defender
Harry Edwards,West Coast Eagles,Key Defender
Jackson Trengove,Western Bulldogs,Key Defender
Zaine Cordy,Western Bulldogs,Key Defender
Dale Morris,Western Bulldogs,Key Defender
Lewis Young,Western Bulldogs,Key Defender
Lachie Young,Western Bulldogs,Key Defender
Fletcher Roberts,Western Bulldogs,Key Defender
Buku Khamis,Western Bulldogs,Key Defender
Taylor Walker,Adelaide Crows,Key Forward
Josh Jenkins,Adelaide Crows,Key Forward
Elliott Himmelberg,Adelaide Crows,Key Forward
Kieran Strachan,Adelaide Crows,Key Forward
Oscar McInerney,Brisbane Lions,Ruck
Daniel McStay,Brisbane Lions,Key Forward
Eric Hipwood,Brisbane Lions,Key Forward
Sam Skinner,Brisbane Lions,Key Forward
Connor Ballenden,Brisbane Lions,Key Forward
Tom Fullarton,Brisbane Lions,Key Forward
Charlie Curnow,Carlton,Key Forward
Levi Casboult,Carlton,Key Forward
Harry McKay,Carlton,Key Forward
Mitch McGovern,Carlton,Key Forward
Patrick Kerr,Carlton,Key Forward
Tom De Koning,Carlton,Key Forward
Finbar ODwyer,Carlton,Key Forward
