Year,Player,Players,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Free Kicks For,Free Kicks Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,Position,Forward Player,Goal Kicker
1999,"Ratten, Brett",Brett Ratten,CA,26,13.46,2.62,12.31,25.77,0.54,0.19,0.23,3.81,1.31,3.65,10.19,1.77,1.08,1.23,0.15,12.85,13.46,0.27,0.5,1.5,0.04, ,Utility,0,0
1999,"Crawford, Shane",Shane Crawford,HW,22,17.64,4.64,11.45,29.09,0.64,0.41,0.05,1.59,3.32,4.59,4.68,3,1.77,0.86,1.27,11.68,16.09,0.41,0.41,2.14,1.59, ,Utility,0,0
1999,"Cresswell, Daryn",Daryn Cresswell,SY,23,15.3,4.26,12.35,27.65,0.78,0.48,0.35,1.13,1.78,4.65,6.78,2.7,1.3,0.83,0.3,10.43,16.78,0.35,0.65,0.87,1.05, ,Utility,0,0
1999,"Bradley, Craig",Craig Bradley,CA,26,16.54,3.69,7.54,24.08,0.35,0.42,0.15,1.35,3.15,5.15,3.23,1.88,1.08,0.81,0.69,7.15,16.5,0.42,0.5,1.77,1.96, ,Utility,0,0
1999,"Bell, Peter",Peter Bell,KA,25,17.08,3.84,7.8,24.88,1.28,0.8,0.04,1.92,2.24,4.56,4.8,1.28,1.08,0.72,0.44,11.48,12.88,0.4,0.72,1.2,0.64, ,Utility,0,0
1999,"Schwass, Wayne",Wayne Schwass,SY,23,18.65,4.26,8,26.65,0.39,0.39,0.35,2.13,3.57,4.48,4.83,2.52,1.3,1.74,0.83,8.17,17.52,0.22,0.3,1.52,1.95, ,Utility,0,0
1999,"Fletcher, Adrian",Adrian Fletcher,FR,22,13.55,4.77,12.86,26.41,0.41,0.23,0.18,1.73,1.23,3.64,6.5,1.82,2.32,1.41,0.68,13.23,14.36,1,0.36,1,0.32, ,Utility,0,0
1999,"Ashcroft, Marcus",Marcus Ashcroft,BL,25,14.28,3.68,8.72,23,0.64,0.32,0,2.44,1.56,4.36,4.36,1.64,0.56,0.56,0.24,8.68,14.4,0.16,0.36,0.88,0.8, ,Utility,0,0
1999,"Campbell, Wayne",Wayne Campbell,RI,22,17.27,4.27,7.95,25.23,0.77,0.18,0.59,1.59,2.64,5.73,5.77,1.64,1.36,0.91,0.45,10.73,13.82,0.95,0.55,1.64,1.1, ,Utility,0,0
1999,"Murphy, Justin",Justin Murphy,CA,23,13.3,5.26,10.61,23.91,0.78,0.65,0.04,1.04,1.61,4.09,2.43,2.52,0.74,1.22,0.13,7.3,17.35,0.43,0.52,0.83,0.36, ,Utility,0,0
1999,"Stevens, Anthony",Anthony Stevens,KA,25,17.16,3.92,4.68,21.84,0.48,0.28,0.08,2.88,3.12,4.16,5.56,1.28,0.68,1.8,0.16,9.76,12,0.4,0.2,1.52,0.88, ,Utility,0,0
1999,"Simpson, Adam",Adam Simpson,KA,25,16.36,4.52,5.44,21.8,0.2,0.36,1.92,2.16,2,5.12,5.28,1.48,0.8,0.8,0.28,9.64,11.44,0.92,0.12,2.44,0.12, ,Utility,0,0
1999,"Johnson, Brad",Brad Johnson,WB,24,15.92,5.54,6.75,22.67,1.08,0.88,0.04,0.92,2,4.54,3,1.54,0.79,0.67,0.13,7.92,14.5,0.63,0.92,0.96,1.22, ,Utility,0,0
1999,"Camporeale, Scott",Scott Camporeale,CA,23,16.52,3.96,6.35,22.87,1.3,0.87,0.04,1.39,1.74,5.52,3,2.3,1.09,1.17,0.17,7.26,16.3,0.17,0.74,1.04,0.45, ,Utility,0,0
1999,"Thompson, Andrew",Andrew Thompson,SK,22,13.23,2.77,10.55,23.77,0.68,0.55,0.05,1.86,0.77,4.82,6.36,1.95,0.91,1.05,0.45,10.64,13.5,0.14,0.18,1.23,0.41, ,Utility,0,0
1999,"Cousins, Ben",Ben Cousins,WC,22,14.09,3.41,9.32,23.41,0.64,0.59,0,1.14,1.86,4.41,4.27,2.14,1.36,0.77,0.68,9.55,14.68,0.23,0.5,0.77,1.05, ,Utility,0,0
1999,"Scott, Chris",Chris Scott,BL,24,15.13,6.25,6.25,21.38,0.17,0.17,0.25,1.42,2.71,4.63,2,1.58,1.04,0.88,0.29,7.13,14.04,0.92,0.38,1.67,0.54, ,Utility,0,0
1999,"West, Scott",Scott West,WB,21,11.62,2.24,12.76,24.38,0.52,0.24,0,1.9,1.86,4.24,5.29,1.76,1.57,0.71,0.67,12.29,11.81,0.14,0.33,1.43,0.1, ,Utility,0,0
1999,"Buckley, Nathan",Nathan Buckley,CW,17,22.24,4.94,7.35,29.59,1.24,0.47,0.35,2.06,1.94,6.82,5.88,2.71,1.12,0.94,1.18,12.76,17.18,0.94,0.47,1.59,1.35, ,Utility,0,0
