Direction,Year,Date,Weekday,Current_Match,Country,Commodity,Transport_Mode,Measure,Value
Exports,2015,31/01/2015,Saturday,01/02/2020,China,Dairy,All,$,12000000
Exports,2015,01/02/2015,Sunday,02/02/2020,China,Dairy,All,$,4000000
Exports,2015,02/02/2015,Monday,03/02/2020,China,Dairy,All,$,10000000
Exports,2015,03/02/2015,Tuesday,04/02/2020,China,Dairy,All,$,1000000
Exports,2015,06/02/2015,Friday,07/02/2020,China,Dairy,All,$,9000000
Exports,2015,07/02/2015,Saturday,08/02/2020,China,Dairy,All,$,8000000
Exports,2015,08/02/2015,Sunday,09/02/2020,China,Dairy,All,$,3000000
Exports,2015,09/02/2015,Monday,10/02/2020,China,Dairy,All,$,3000000
Exports,2015,10/02/2015,Tuesday,11/02/2020,China,Dairy,All,$,2000000
Exports,2015,12/02/2015,Thursday,13/02/2020,China,Dairy,All,$,3000000
Exports,2015,13/02/2015,Friday,14/02/2020,China,Dairy,All,$,9000000
Exports,2015,14/02/2015,Saturday,15/02/2020,China,Dairy,All,$,9000000
Exports,2015,15/02/2015,Sunday,16/02/2020,China,Dairy,All,$,4000000
Exports,2015,16/02/2015,Monday,17/02/2020,China,Dairy,All,$,10000000
Exports,2015,17/02/2015,Tuesday,18/02/2020,China,Dairy,All,$,3000000
Exports,2015,19/02/2015,Thursday,20/02/2020,China,Dairy,All,$,7000000
Exports,2015,20/02/2015,Friday,21/02/2020,China,Dairy,All,$,9000000
Exports,2015,21/02/2015,Saturday,22/02/2020,China,Dairy,All,$,5000000
Exports,2015,22/02/2015,Sunday,23/02/2020,China,Dairy,All,$,2000000
Exports,2015,23/02/2015,Monday,24/02/2020,China,Dairy,All,$,20000000
Exports,2015,24/02/2015,Tuesday,25/02/2020,China,Dairy,All,$,5000000
Exports,2015,25/02/2015,Wednesday,26/02/2020,China,Dairy,All,$,5000000
Exports,2015,26/02/2015,Thursday,27/02/2020,China,Dairy,All,$,2000000
Exports,2015,27/02/2015,Friday,28/02/2020,China,Dairy,All,$,15000000
Exports,2015,28/02/2015,Saturday,29/02/2020,China,Dairy,All,$,7000000
Exports,2015,01/03/2015,Sunday,01/03/2020,China,Dairy,All,$,14000000
Exports,2015,02/03/2015,Monday,02/03/2020,China,Dairy,All,$,5000000
Exports,2015,03/03/2015,Tuesday,03/03/2020,China,Dairy,All,$,4000000
Exports,2015,04/03/2015,Wednesday,04/03/2020,China,Dairy,All,$,4000000
Exports,2015,05/03/2015,Thursday,05/03/2020,China,Dairy,All,$,7000000
Exports,2015,06/03/2015,Friday,06/03/2020,China,Dairy,All,$,10000000
Exports,2015,07/03/2015,Saturday,07/03/2020,China,Dairy,All,$,2000000
Exports,2015,08/03/2015,Sunday,08/03/2020,China,Dairy,All,$,5000000
Exports,2015,09/03/2015,Monday,09/03/2020,China,Dairy,All,$,10000000
Exports,2015,10/03/2015,Tuesday,10/03/2020,China,Dairy,All,$,2000000
Exports,2015,12/03/2015,Thursday,12/03/2020,China,Dairy,All,$,12000000
Exports,2015,13/03/2015,Friday,13/03/2020,China,Dairy,All,$,12000000
Exports,2015,15/03/2015,Sunday,15/03/2020,China,Dairy,All,$,1000000
Exports,2015,16/03/2015,Monday,16/03/2020,China,Dairy,All,$,14000000
Exports,2015,17/03/2015,Tuesday,17/03/2020,China,Dairy,All,$,1000000
Exports,2015,19/03/2015,Thursday,19/03/2020,China,Dairy,All,$,3000000
Exports,2015,20/03/2015,Friday,20/03/2020,China,Dairy,All,$,7000000
Exports,2015,21/03/2015,Saturday,21/03/2020,China,Dairy,All,$,10000000
Exports,2015,22/03/2015,Sunday,22/03/2020,China,Dairy,All,$,9000000
Exports,2015,23/03/2015,Monday,23/03/2020,China,Dairy,All,$,13000000
Exports,2015,24/03/2015,Tuesday,24/03/2020,China,Dairy,All,$,2000000
Exports,2015,26/03/2015,Thursday,26/03/2020,China,Dairy,All,$,2000000
Exports,2015,27/03/2015,Friday,27/03/2020,China,Dairy,All,$,12000000
Exports,2015,28/03/2015,Saturday,28/03/2020,China,Dairy,All,$,10000000
Exports,2015,29/03/2015,Sunday,29/03/2020,China,Dairy,All,$,8000000
Exports,2015,30/03/2015,Monday,30/03/2020,China,Dairy,All,$,9000000
Exports,2015,31/03/2015,Tuesday,31/03/2020,China,Dairy,All,$,4000000
Exports,2015,02/04/2015,Thursday,02/04/2020,China,Dairy,All,$,1000000
Exports,2015,03/04/2015,Friday,03/04/2020,China,Dairy,All,$,5000000
Exports,2015,04/04/2015,Saturday,04/04/2020,China,Dairy,All,$,6000000
Exports,2015,05/04/2015,Sunday,05/04/2020,China,Dairy,All,$,7000000
Exports,2015,06/04/2015,Monday,06/04/2020,China,Dairy,All,$,13000000
Exports,2015,07/04/2015,Tuesday,07/04/2020,China,Dairy,All,$,2000000
Exports,2015,09/04/2015,Thursday,09/04/2020,China,Dairy,All,$,1000000
Exports,2015,10/04/2015,Friday,10/04/2020,China,Dairy,All,$,5000000
Exports,2015,11/04/2015,Saturday,11/04/2020,China,Dairy,All,$,6000000
Exports,2015,12/04/2015,Sunday,12/04/2020,China,Dairy,All,$,1000000
Exports,2015,13/04/2015,Monday,13/04/2020,China,Dairy,All,$,27000000
Exports,2015,14/04/2015,Tuesday,14/04/2020,China,Dairy,All,$,2000000
Exports,2015,15/04/2015,Wednesday,15/04/2020,China,Dairy,All,$,1000000
Exports,2015,16/04/2015,Thursday,16/04/2020,China,Dairy,All,$,7000000
Exports,2015,17/04/2015,Friday,17/04/2020,China,Dairy,All,$,10000000
Exports,2015,19/04/2015,Sunday,19/04/2020,China,Dairy,All,$,1000000
Exports,2015,20/04/2015,Monday,20/04/2020,China,Dairy,All,$,7000000
Exports,2015,21/04/2015,Tuesday,21/04/2020,China,Dairy,All,$,2000000
Exports,2015,24/04/2015,Friday,24/04/2020,China,Dairy,All,$,10000000
Exports,2015,25/04/2015,Saturday,25/04/2020,China,Dairy,All,$,12000000
Exports,2015,26/04/2015,Sunday,26/04/2020,China,Dairy,All,$,2000000
Exports,2015,27/04/2015,Monday,27/04/2020,China,Dairy,All,$,11000000
Exports,2015,30/04/2015,Thursday,30/04/2020,China,Dairy,All,$,2000000
Exports,2015,01/05/2015,Friday,01/05/2020,China,Dairy,All,$,4000000
Exports,2015,02/05/2015,Saturday,02/05/2020,China,Dairy,All,$,5000000
Exports,2015,03/05/2015,Sunday,03/05/2020,China,Dairy,All,$,5000000
Exports,2015,04/05/2015,Monday,04/05/2020,China,Dairy,All,$,4000000
Exports,2015,05/05/2015,Tuesday,05/05/2020,China,Dairy,All,$,1000000
Exports,2015,06/05/2015,Wednesday,06/05/2020,China,Dairy,All,$,5000000
Exports,2015,08/05/2015,Friday,08/05/2020,China,Dairy,All,$,13000000
Exports,2015,09/05/2015,Saturday,09/05/2020,China,Dairy,All,$,3000000
Exports,2015,10/05/2015,Sunday,10/05/2020,China,Dairy,All,$,5000000
Exports,2015,11/05/2015,Monday,11/05/2020,China,Dairy,All,$,7000000
Exports,2015,12/05/2015,Tuesday,12/05/2020,China,Dairy,All,$,1000000
Exports,2015,14/05/2015,Thursday,14/05/2020,China,Dairy,All,$,2000000
Exports,2015,15/05/2015,Friday,15/05/2020,China,Dairy,All,$,6000000
Exports,2015,16/05/2015,Saturday,16/05/2020,China,Dairy,All,$,19000000
Exports,2015,17/05/2015,Sunday,17/05/2020,China,Dairy,All,$,5000000
Exports,2015,18/05/2015,Monday,18/05/2020,China,Dairy,All,$,2000000
Exports,2015,19/05/2015,Tuesday,19/05/2020,China,Dairy,All,$,2000000
Exports,2015,20/05/2015,Wednesday,20/05/2020,China,Dairy,All,$,3000000
Exports,2015,21/05/2015,Thursday,21/05/2020,China,Dairy,All,$,1000000
Exports,2015,22/05/2015,Friday,22/05/2020,China,Dairy,All,$,12000000
Exports,2015,23/05/2015,Saturday,23/05/2020,China,Dairy,All,$,1000000
Exports,2015,24/05/2015,Sunday,24/05/2020,China,Dairy,All,$,3000000
Exports,2015,25/05/2015,Monday,25/05/2020,China,Dairy,All,$,1000000
Exports,2015,26/05/2015,Tuesday,26/05/2020,China,Dairy,All,$,1000000
Exports,2015,28/05/2015,Thursday,28/05/2020,China,Dairy,All,$,5000000
Exports,2015,29/05/2015,Friday,29/05/2020,China,Dairy,All,$,12000000
Exports,2015,30/05/2015,Saturday,30/05/2020,China,Dairy,All,$,13000000
Exports,2015,31/05/2015,Sunday,31/05/2020,China,Dairy,All,$,3000000
Exports,2015,01/06/2015,Monday,01/06/2020,China,Dairy,All,$,2000000
Exports,2015,02/06/2015,Tuesday,02/06/2020,China,Dairy,All,$,1000000
Exports,2015,04/06/2015,Thursday,04/06/2020,China,Dairy,All,$,5000000
Exports,2015,05/06/2015,Friday,05/06/2020,China,Dairy,All,$,11000000
Exports,2015,07/06/2015,Sunday,07/06/2020,China,Dairy,All,$,16000000
Exports,2015,08/06/2015,Monday,08/06/2020,China,Dairy,All,$,10000000
Exports,2015,09/06/2015,Tuesday,09/06/2020,China,Dairy,All,$,1000000
Exports,2015,11/06/2015,Thursday,11/06/2020,China,Dairy,All,$,20000000
Exports,2015,12/06/2015,Friday,12/06/2020,China,Dairy,All,$,10000000
Exports,2015,13/06/2015,Saturday,13/06/2020,China,Dairy,All,$,3000000
Exports,2015,14/06/2015,Sunday,14/06/2020,China,Dairy,All,$,3000000
Exports,2015,15/06/2015,Monday,15/06/2020,China,Dairy,All,$,8000000
Exports,2015,16/06/2015,Tuesday,16/06/2020,China,Dairy,All,$,1000000
Exports,2015,18/06/2015,Thursday,18/06/2020,China,Dairy,All,$,7000000
Exports,2015,19/06/2015,Friday,19/06/2020,China,Dairy,All,$,15000000
Exports,2015,20/06/2015,Saturday,20/06/2020,China,Dairy,All,$,3000000
Exports,2015,21/06/2015,Sunday,21/06/2020,China,Dairy,All,$,2000000
Exports,2015,22/06/2015,Monday,22/06/2020,China,Dairy,All,$,11000000
Exports,2015,23/06/2015,Tuesday,23/06/2020,China,Dairy,All,$,1000000
Exports,2016,30/01/2016,Saturday,01/02/2020,China,Dairy,All,$,19000000
Exports,2016,31/01/2016,Sunday,02/02/2020,China,Dairy,All,$,1000000
Exports,2016,01/02/2016,Monday,03/02/2020,China,Dairy,All,$,13000000
Exports,2016,02/02/2016,Tuesday,04/02/2020,China,Dairy,All,$,5000000
Exports,2016,04/02/2016,Thursday,06/02/2020,China,Dairy,All,$,5000000
Exports,2016,05/02/2016,Friday,07/02/2020,China,Dairy,All,$,16000000
Exports,2016,07/02/2016,Sunday,09/02/2020,China,Dairy,All,$,2000000
Exports,2016,08/02/2016,Monday,10/02/2020,China,Dairy,All,$,5000000
Exports,2016,09/02/2016,Tuesday,11/02/2020,China,Dairy,All,$,3000000
Exports,2016,11/02/2016,Thursday,13/02/2020,China,Dairy,All,$,5000000
Exports,2016,12/02/2016,Friday,14/02/2020,China,Dairy,All,$,18000000
Exports,2016,13/02/2016,Saturday,15/02/2020,China,Dairy,All,$,30000000
Exports,2016,14/02/2016,Sunday,16/02/2020,China,Dairy,All,$,6000000
Exports,2016,15/02/2016,Monday,17/02/2020,China,Dairy,All,$,13000000
Exports,2016,18/02/2016,Thursday,20/02/2020,China,Dairy,All,$,6000000
Exports,2016,19/02/2016,Friday,21/02/2020,China,Dairy,All,$,4000000
Exports,2016,20/02/2016,Saturday,22/02/2020,China,Dairy,All,$,6000000
Exports,2016,21/02/2016,Sunday,23/02/2020,China,Dairy,All,$,1000000
Exports,2016,22/02/2016,Monday,24/02/2020,China,Dairy,All,$,9000000
Exports,2016,23/02/2016,Tuesday,25/02/2020,China,Dairy,All,$,6000000
Exports,2016,25/02/2016,Thursday,27/02/2020,China,Dairy,All,$,3000000
Exports,2016,26/02/2016,Friday,28/02/2020,China,Dairy,All,$,12000000
Exports,2016,27/02/2016,Saturday,29/02/2020,China,Dairy,All,$,19000000
Exports,2016,28/02/2016,Sunday,01/03/2020,China,Dairy,All,$,5000000
Exports,2016,29/02/2016,Monday,02/03/2020,China,Dairy,All,$,16000000
Exports,2016,01/03/2016,Tuesday,03/03/2020,China,Dairy,All,$,2000000
Exports,2016,03/03/2016,Thursday,05/03/2020,China,Dairy,All,$,7000000
Exports,2016,04/03/2016,Friday,06/03/2020,China,Dairy,All,$,11000000
Exports,2016,06/03/2016,Sunday,08/03/2020,China,Dairy,All,$,4000000
Exports,2016,07/03/2016,Monday,09/03/2020,China,Dairy,All,$,7000000
Exports,2016,08/03/2016,Tuesday,10/03/2020,China,Dairy,All,$,4000000
Exports,2016,10/03/2016,Thursday,12/03/2020,China,Dairy,All,$,8000000
Exports,2016,11/03/2016,Friday,13/03/2020,China,Dairy,All,$,15000000
Exports,2016,12/03/2016,Saturday,14/03/2020,China,Dairy,All,$,20000000
Exports,2016,13/03/2016,Sunday,15/03/2020,China,Dairy,All,$,6000000
Exports,2016,14/03/2016,Monday,16/03/2020,China,Dairy,All,$,5000000
Exports,2016,15/03/2016,Tuesday,17/03/2020,China,Dairy,All,$,1000000
Exports,2016,16/03/2016,Wednesday,18/03/2020,China,Dairy,All,$,1000000
Exports,2016,17/03/2016,Thursday,19/03/2020,China,Dairy,All,$,8000000
Exports,2016,18/03/2016,Friday,20/03/2020,China,Dairy,All,$,17000000
Exports,2016,19/03/2016,Saturday,21/03/2020,China,Dairy,All,$,2000000
Exports,2016,20/03/2016,Sunday,22/03/2020,China,Dairy,All,$,7000000
Exports,2016,21/03/2016,Monday,23/03/2020,China,Dairy,All,$,2000000
Exports,2016,22/03/2016,Tuesday,24/03/2020,China,Dairy,All,$,4000000
Exports,2016,24/03/2016,Thursday,26/03/2020,China,Dairy,All,$,6000000
Exports,2016,25/03/2016,Friday,27/03/2020,China,Dairy,All,$,10000000
Exports,2016,26/03/2016,Saturday,28/03/2020,China,Dairy,All,$,11000000
Exports,2016,27/03/2016,Sunday,29/03/2020,China,Dairy,All,$,1000000
Exports,2016,28/03/2016,Monday,30/03/2020,China,Dairy,All,$,6000000
Exports,2016,29/03/2016,Tuesday,31/03/2020,China,Dairy,All,$,3000000
Exports,2016,31/03/2016,Thursday,02/04/2020,China,Dairy,All,$,10000000
Exports,2016,01/04/2016,Friday,03/04/2020,China,Dairy,All,$,15000000
Exports,2016,03/04/2016,Sunday,05/04/2020,China,Dairy,All,$,4000000
Exports,2016,04/04/2016,Monday,06/04/2020,China,Dairy,All,$,6000000
Exports,2016,05/04/2016,Tuesday,07/04/2020,China,Dairy,All,$,2000000
Exports,2016,07/04/2016,Thursday,09/04/2020,China,Dairy,All,$,5000000
Exports,2016,08/04/2016,Friday,10/04/2020,China,Dairy,All,$,10000000
Exports,2016,09/04/2016,Saturday,11/04/2020,China,Dairy,All,$,28000000
Exports,2016,10/04/2016,Sunday,12/04/2020,China,Dairy,All,$,2000000
Exports,2016,11/04/2016,Monday,13/04/2020,China,Dairy,All,$,1000000
Exports,2016,12/04/2016,Tuesday,14/04/2020,China,Dairy,All,$,2000000
Exports,2016,14/04/2016,Thursday,16/04/2020,China,Dairy,All,$,7000000
Exports,2016,15/04/2016,Friday,17/04/2020,China,Dairy,All,$,9000000
Exports,2016,17/04/2016,Sunday,19/04/2020,China,Dairy,All,$,3000000
Exports,2016,18/04/2016,Monday,20/04/2020,China,Dairy,All,$,6000000
Exports,2016,19/04/2016,Tuesday,21/04/2020,China,Dairy,All,$,2000000
Exports,2016,21/04/2016,Thursday,23/04/2020,China,Dairy,All,$,1000000
Exports,2016,22/04/2016,Friday,24/04/2020,China,Dairy,All,$,8000000
Exports,2016,23/04/2016,Saturday,25/04/2020,China,Dairy,All,$,6000000
Exports,2016,24/04/2016,Sunday,26/04/2020,China,Dairy,All,$,3000000
Exports,2016,25/04/2016,Monday,27/04/2020,China,Dairy,All,$,26000000
Exports,2016,26/04/2016,Tuesday,28/04/2020,China,Dairy,All,$,2000000
Exports,2016,28/04/2016,Thursday,30/04/2020,China,Dairy,All,$,14000000
Exports,2016,29/04/2016,Friday,01/05/2020,China,Dairy,All,$,8000000
Exports,2016,01/05/2016,Sunday,03/05/2020,China,Dairy,All,$,1000000
Exports,2016,02/05/2016,Monday,04/05/2020,China,Dairy,All,$,4000000
Exports,2016,03/05/2016,Tuesday,05/05/2020,China,Dairy,All,$,11000000
Exports,2016,04/05/2016,Wednesday,06/05/2020,China,Dairy,All,$,2000000
Exports,2016,05/05/2016,Thursday,07/05/2020,China,Dairy,All,$,5000000
Exports,2016,06/05/2016,Friday,08/05/2020,China,Dairy,All,$,11000000
Exports,2016,07/05/2016,Saturday,09/05/2020,China,Dairy,All,$,20000000
Exports,2016,08/05/2016,Sunday,10/05/2020,China,Dairy,All,$,7000000
Exports,2016,09/05/2016,Monday,11/05/2020,China,Dairy,All,$,4000000
Exports,2016,10/05/2016,Tuesday,12/05/2020,China,Dairy,All,$,5000000
Exports,2016,12/05/2016,Thursday,14/05/2020,China,Dairy,All,$,7000000
